epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6594,1.0508,4.54016,1.27578,0.23002,0.39187,0.16777,0.11847,0.82712,3.75649,1.08683,7.83e-05,7.83e-05,7.83e-05
2,48.2422,0.92488,2.99854,1.09006,0.39346,0.45362,0.33593,0.25218,0.7968,3.71363,1.29418,0.000159357,0.000159357,0.000159357
3,61.7792,0.9208,2.48234,1.07391,0.34252,0.64379,0.4723,0.37911,0.66065,2.53148,1.13921,0.000238777,0.000238777,0.000238777
4,75.3041,0.95819,2.21351,1.11339,0.43698,0.81442,0.70561,0.55432,0.78706,4.43736,1.38221,0.00031656,0.00031656,0.00031656
5,88.7703,0.92991,1.82242,1.06443,0.44989,0.70913,0.65866,0.52647,0.73315,2.70286,1.16716,0.000392708,0.000392708,0.000392708
6,102.104,0.91178,1.73278,1.07811,0.69959,0.71452,0.70997,0.55477,0.86232,3.7436,1.41116,0.000413467,0.000413467,0.000413467
7,115.625,0.92713,1.59971,1.06775,0.429,0.70997,0.55812,0.44462,0.79272,8.30743,1.28997,0.000409161,0.000409161,0.000409161
8,128.972,0.90436,1.46925,1.06809,0.64372,0.58364,0.55932,0.42993,0.98026,5.67447,1.4568,0.000404854,0.000404854,0.000404854
9,142.301,0.95835,1.39078,1.06512,0.64716,0.85957,0.81054,0.63354,0.77154,2.5975,1.23344,0.000400548,0.000400548,0.000400548
10,155.868,0.89411,1.15086,1.03441,0.65641,0.73101,0.71927,0.57447,0.74914,2.89561,1.16787,0.000396242,0.000396242,0.000396242
11,169.593,0.83778,1.28132,1.06131,0.76127,0.72086,0.83676,0.66893,0.72704,1.69606,1.11764,0.000391935,0.000391935,0.000391935
12,183.142,0.87994,1.15886,1.04367,0.86631,0.72828,0.88067,0.71136,0.70275,1.60571,1.08633,0.000387629,0.000387629,0.000387629
13,196.727,0.88606,1.107,1.02802,0.84347,0.86187,0.94965,0.77356,0.6904,1.55288,1.07002,0.000383322,0.000383322,0.000383322
14,210.262,0.85062,1.02069,1.00814,0.86857,0.87151,0.91503,0.77219,0.63554,0.9938,1.01169,0.000379015,0.000379015,0.000379015
15,223.661,0.82383,0.96626,1.02126,0.95242,0.96481,0.98806,0.82931,0.63633,0.66949,1.0311,0.000374709,0.000374709,0.000374709
16,237.217,0.85632,0.98086,1.01439,0.82998,0.78732,0.90362,0.75118,0.68249,1.28567,1.03393,0.000370403,0.000370403,0.000370403
17,250.589,0.84103,1.0354,1.02287,0.84955,0.93006,0.9708,0.80373,0.62713,1.0569,0.98661,0.000366096,0.000366096,0.000366096
18,263.972,0.80121,0.917,0.99832,0.80965,0.93289,0.94584,0.79389,0.66577,1.00296,1.03736,0.00036179,0.00036179,0.00036179
19,277.463,0.81567,0.86346,0.98593,0.89196,0.96424,0.98197,0.83629,0.602,0.64408,0.99944,0.000357483,0.000357483,0.000357483
20,291.383,0.78692,0.85221,1.0017,0.90416,0.96129,0.98145,0.83447,0.64682,0.84725,1.01636,0.000353177,0.000353177,0.000353177
21,304.822,0.8213,0.88606,1.00771,0.91267,0.97033,0.99199,0.83573,0.60172,0.60664,0.96464,0.00034887,0.00034887,0.00034887
22,318.483,0.77757,0.77921,0.98795,0.94987,0.96203,0.98964,0.82438,0.62381,0.49981,0.97752,0.000344563,0.000344563,0.000344563
23,331.908,0.79865,0.83028,0.99557,0.94253,0.94239,0.98982,0.82178,0.61778,0.60865,0.98377,0.000340257,0.000340257,0.000340257
24,345.358,0.79889,0.80961,0.97976,0.90288,0.94232,0.98954,0.83636,0.59689,0.7581,1.00225,0.000335951,0.000335951,0.000335951
25,359.043,0.76615,0.74436,0.98565,0.8763,0.96769,0.98656,0.81759,0.63448,0.64206,1.0191,0.000331644,0.000331644,0.000331644
26,372.478,0.80125,0.8237,1.00844,0.89162,0.97365,0.98074,0.81754,0.6518,0.64415,1.01632,0.000327337,0.000327337,0.000327337
27,385.945,0.79527,0.77435,0.98473,0.96233,0.97746,0.99333,0.83836,0.62259,0.43719,1.0027,0.000323031,0.000323031,0.000323031
28,400.01,0.76859,0.70285,0.97389,0.94278,0.96208,0.99074,0.83146,0.61269,0.52995,0.96867,0.000318725,0.000318725,0.000318725
29,413.487,0.74882,0.67654,0.95533,0.96485,0.99254,0.99208,0.85235,0.57956,0.4499,0.96853,0.000314418,0.000314418,0.000314418
30,427.126,0.7332,0.64769,0.9656,0.94192,0.97507,0.99375,0.84766,0.5882,0.44268,0.9709,0.000310111,0.000310111,0.000310111
31,440.609,0.74191,0.64492,0.96667,0.92105,0.95257,0.98414,0.83426,0.61055,0.54909,0.9752,0.000305805,0.000305805,0.000305805
32,454.036,0.74885,0.64601,0.96761,0.96227,0.95102,0.99047,0.83848,0.58852,0.48651,0.96215,0.000301498,0.000301498,0.000301498
33,467.479,0.74582,0.64707,0.97105,0.96548,0.99119,0.99208,0.84546,0.57541,0.36297,0.95684,0.000297192,0.000297192,0.000297192
34,480.967,0.7695,0.63581,0.9776,0.95606,0.96663,0.99208,0.83685,0.57075,0.43585,0.95227,0.000292885,0.000292885,0.000292885
35,494.388,0.72321,0.60692,0.96676,0.96298,0.95801,0.99167,0.85808,0.55753,0.39872,0.93873,0.000288579,0.000288579,0.000288579
36,507.968,0.70567,0.59882,0.96611,0.97021,0.99335,0.99167,0.85679,0.55439,0.35983,0.92636,0.000284272,0.000284272,0.000284272
37,521.783,0.72708,0.62203,0.97456,0.97249,1,0.99208,0.85546,0.56655,0.38313,0.9581,0.000279966,0.000279966,0.000279966
38,535.214,0.72769,0.60276,0.96468,0.97082,1,0.99208,0.85757,0.5457,0.36122,0.95442,0.00027566,0.00027566,0.00027566
39,548.685,0.7111,0.59499,0.95059,0.97101,0.99271,0.99208,0.8529,0.5579,0.3625,0.94534,0.000271353,0.000271353,0.000271353
40,562.157,0.71958,0.58251,0.97409,0.97454,1,0.99208,0.85757,0.56182,0.34617,0.95396,0.000267047,0.000267047,0.000267047
41,575.607,0.70804,0.57729,0.94761,0.96578,0.98132,0.99167,0.85234,0.52621,0.384,0.9319,0.00026274,0.00026274,0.00026274
42,589.062,0.70442,0.58909,0.96558,0.95937,0.98805,0.99086,0.85282,0.53279,0.35518,0.91935,0.000258434,0.000258434,0.000258434
43,602.538,0.69603,0.55951,0.94551,0.95663,0.97523,0.99167,0.86314,0.55832,0.36645,0.94737,0.000254127,0.000254127,0.000254127
44,616.131,0.70788,0.5593,0.94717,0.9675,0.98911,0.99125,0.85027,0.54751,0.32891,0.92946,0.00024982,0.00024982,0.00024982
45,629.573,0.70958,0.54822,0.94729,0.97722,0.99615,0.99333,0.85032,0.57465,0.36573,0.95108,0.000245514,0.000245514,0.000245514
46,643.402,0.70676,0.55822,0.95703,0.96991,0.99931,0.99125,0.85269,0.56317,0.31516,0.9436,0.000241207,0.000241207,0.000241207
47,656.818,0.68092,0.51018,0.94662,0.97269,0.999,0.99333,0.84802,0.56306,0.33283,0.94422,0.000236901,0.000236901,0.000236901
48,670.244,0.67888,0.53098,0.95056,0.96452,0.98574,0.99333,0.85052,0.55406,0.32821,0.95058,0.000232595,0.000232595,0.000232595
